,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
12974,PDO_DMSO_PDO_CAF,PDO_SN38_PDO,LAMB2,ITGA6_ITGB4,0.44419956,0.312,0.16998518,0.007533997,0.050662547,0.02426625,0.85032463,0.0,1.0,1.0,1.0
3582,Fibroblast_DMSO_PDO_CAF,Fibroblast_DMSO_CAF,LAMB1,DAG1,0.22533017,1.0,0.050615888,-0.19784999,-0.51783967,0.007177013,0.75610214,0.0,1.0,1.0,1.0
3583,Fibroblast_DMSO_PDO_CAF,Fibroblast_DMSO_CAF,LAMB1,ITGA1,0.29630098,0.999,0.08438265,0.03942126,-0.19776613,0.011120858,0.80010885,0.0,1.0,1.0,1.0
3584,Fibroblast_DMSO_PDO_CAF,Fibroblast_DMSO_CAF,LAMB1,ITGA2_ITGB1,0.4162677,0.361,0.14146088,0.03349811,-0.18443587,0.011091133,0.8382556,0.0,1.0,1.0,1.0
3650,Fibroblast_DMSO_PDO_CAF,Fibroblast_DMSO_CAF,PSEN1,NOTCH2,0.61073625,0.0,0.24564976,0.07982537,-0.123814374,0.012295597,0.8722775,0.0,1.0,1.0,1.0
3585,Fibroblast_DMSO_PDO_CAF,Fibroblast_DMSO_CAF,LAMB1,ITGA3_ITGB1,0.371742,0.788,0.12027629,0.03531137,-0.18776071,0.014657587,0.8269537,0.0,1.0,1.0,1.0
3588,Fibroblast_DMSO_PDO_CAF,Fibroblast_DMSO_CAF,LAMB1,ITGAV_ITGB8,0.40465766,0.0,0.135937,0.18833664,-0.040982902,0.01641387,0.83553714,0.0,1.0,1.0,1.0
3590,Fibroblast_DMSO_PDO_CAF,Fibroblast_DMSO_CAF,LAMB2,DAG1,0.32025972,0.0,0.091011904,0.09027365,0.02472803,0.020519499,0.8060881,0.0,1.0,1.0,1.0
3593,Fibroblast_DMSO_PDO_CAF,Fibroblast_DMSO_CAF,LAMB2,ITGA6_ITGB1,0.32424718,1.0,0.09442318,-0.06819208,-0.38644156,0.010887318,0.80894774,0.0,1.0,1.0,1.0
3594,Fibroblast_DMSO_PDO_CAF,Fibroblast_DMSO_CAF,LAMB2,ITGA7_ITGB1,0.31017122,0.0,0.08238117,0.33121723,0.3371742,0.053583585,0.79818237,0.0,1.0,0.5710508222346835,1.0
3596,Fibroblast_DMSO_PDO_CAF,Fibroblast_DMSO_CAF,LAMB2,RPSA,0.29452416,0.0,0.06899509,0.1444724,0.13768439,0.024970558,0.78352225,0.0,1.0,1.0,1.0
3598,Fibroblast_DMSO_PDO_CAF,Fibroblast_DMSO_CAF,LAMC1,DAG1,0.41210294,0.071,0.13009459,0.009304095,-0.11382252,0.014287185,0.8324965,0.0,1.0,1.0,1.0
3602,Fibroblast_DMSO_PDO_CAF,Fibroblast_DMSO_CAF,LAMC1,ITGA6_ITGB1,0.4160904,1.0,0.13497074,-0.14916164,-0.5249921,0.007580552,0.8350464,0.0,1.0,1.0,1.0
3603,Fibroblast_DMSO_PDO_CAF,Fibroblast_DMSO_CAF,LAMC1,ITGA7_ITGB1,0.40201443,0.0,0.117757596,0.2502477,0.19862366,0.037308834,0.82543427,0.0,1.0,1.0,1.0
3606,Fibroblast_DMSO_PDO_CAF,Fibroblast_DMSO_CAF,LGALS3,ENG,0.29246718,1.0,0.06645732,0.11467686,-0.06393561,0.03572594,0.78032714,0.0,1.0,1.0,1.0
3586,Fibroblast_DMSO_PDO_CAF,Fibroblast_DMSO_CAF,LAMB1,ITGA6_ITGB1,0.22931764,1.0,0.052513056,-0.35631573,-0.9290093,0.0038080083,0.7594789,0.0,1.0,1.0,1.0
3580,Fibroblast_DMSO_PDO_CAF,Fibroblast_DMSO_CAF,LAMA5,ITGAV_ITGB8,0.40358865,1.0,0.13471532,0.10293876,-0.248324,0.014064131,0.8349159,0.0,1.0,1.0,1.0
